province,lat,lon
กรุงเทพมหานคร,13.7563,100.5018
กระบี่,8.0863,98.9063
กาญจนบุรี,14.0228,99.5328
กาฬสินธุ์,16.4313,103.5061
กำแพงเพชร,16.4828,99.5227
ขอนแก่น,16.4467,102.833
จันทบุรี,12.6113,102.103
ฉะเชิงเทรา,13.6904,101.0779
ชลบุรี,13.3611,100.9847
ชัยนาท,15.1856,100.1251
ชัยภูมิ,15.7986,102.0316
ชุมพร,10.4931,99.18
เชียงราย,19.9105,99.8406
เชียงใหม่,18.7961,98.9799
ตรัง,7.556,99.6114
ตราด,12.2428,102.5187
ตาก,16.877,99.1264
นครนายก,14.2062,101.2131
นครปฐม,13.8199,100.0443
นครพนม,17.4108,104.7784
นครราชสีมา,14.9799,102.0977
นครศรีธรรมราช,8.4304,99.9631
นครสวรรค์,15.7047,100.1372
นนทบุรี,13.8591,100.5217
นราธิวาส,6.4255,101.8253
น่าน,18.7831,100.78
บึงกาฬ,18.3597,103.6465
บุรีรัมย์,14.9943,103.1034
ปทุมธานี,14.0208,100.525
ประจวบคีรีขันธ์,11.813,99.797
ปราจีนบุรี,14.0486,101.37
ปัตตานี,6.7612,101.3233
พระนครศรีอยุธยา,14.3692,100.587
พะเยา,19.1915,99.8788
พังงา,8.4519,98.525
พัทลุง,7.6176,100.077
พิจิตร,16.4419,100.3488
พิษณุโลก,16.8281,100.2729
เพชรบุรี,13.1119,99.4873
เพชรบูรณ์,16.419,101.1606
แพร่,18.1446,100.1403
ภูเก็ต,7.8804,98.3923
มหาสารคาม,16.1809,103.3008
มุกดาหาร,16.5453,104.7235
แม่ฮ่องสอน,19.302,97.9654
ยะลา,6.541,101.28
ยโสธร,15.794,104.1453
ร้อยเอ็ด,16.0538,103.652
ระนอง,9.9604,98.632
ระยอง,12.7075,101.1474
ราชบุรี,13.5362,99.8177
ลพบุรี,14.7995,100.6534
ลำปาง,18.2923,99.4928
ลำพูน,18.5745,99.0087
เลย,17.486,101.722
ศรีสะเกษ,15.1186,104.322
สกลนคร,17.1674,104.1476
สงขลา,7.1756,100.6144
สตูล,6.6238,100.0674
สมุทรปราการ,13.5991,100.5998
สมุทรสงคราม,13.4099,100.0023
สมุทรสาคร,13.5473,100.2749
สระแก้ว,13.824,102.0646
สระบุรี,14.5289,100.9103
สิงห์บุรี,14.8917,100.4045
สุโขทัย,17.0098,99.822
สุพรรณบุรี,14.4745,100.1177
สุราษฎร์ธานี,9.14,99.3332
สุรินทร์,14.8818,103.4936
หนองคาย,17.8783,102.7413
หนองบัวลำภู,17.199,102.4397
อ่างทอง,14.5883,100.453
อำนาจเจริญ,15.858,104.6262
อุดรธานี,17.4178,102.7872
อุตรดิตถ์,17.62,100.0997
อุทัยธานี,15.3795,100.0245
อุบลราชธานี,15.2448,104.8473
